file_x,file_y,decision,dist_l2,y,y_pred,y_pred_final,dist_l2_scaled
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10390093/4143654887,314089840_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10390093/310481682,1119053366_align.jpg",Yes,1.4297,1,No,No,-1.4297
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10312675/1005713329,2384014742_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10312675/1376838204,2574904011_align.jpg",Yes,0.9825,1,Yes,No,-0.9825
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10303010/2999743508,1830231945_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10303010/1098791926,3136405043_align.jpg",Yes,0.7706,1,Yes,No,-0.7706
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10351752/2381222804,4142659208_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10351752/4182056418,1393087583_align.jpg",Yes,0.9046,1,Yes,No,-0.9046
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10250709/1153631388,351990939_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10250709/172428757,1042345329_align.jpg",Yes,0.6602,1,Yes,No,-0.6602
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10427086/1208013806,345032679_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10427086/1803842821,2742957832_align.jpg",Yes,1.1515,1,No,No,-1.1515
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10552165/242dd42a2834349b2465767ac9ea15ce37d3bee9.jpg_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10552165/f6428f8f9127e1b1503d923c.jpg_align.jpg",Yes,0.5598,1,Yes,No,-0.5598
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10391912/4202779921,691114325_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10391912/3704568826,2838780414_align.jpg",Yes,0.8605,1,Yes,No,-0.8605
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10413592/faedab64034f78f0771ada7078310a55b3191c1b.jpg_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10413592/1819562751,224518584_align.jpg",Yes,0.8877,1,Yes,No,-0.8877
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10387557/4043902492,601413281_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10387557/837572677,4164439998_align.jpg",Yes,1.3164,1,No,No,-1.3164
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10298001/4125274842,430066658_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10298001/237791015,3005400733_align.jpg",Yes,1.0212,1,Yes,No,-1.0212
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10276210/9213b07eca8065386a1b93a897dda144ac348293.jpg_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10276210/5ab5c9ea15ce36d345177f8a3af33a87e950b17d.jpg_align.jpg",Yes,1.0606,1,Yes,No,-1.0606
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10364866/4130742780,3328694628_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10364866/27539364,1948149681_align.jpg",Yes,0.5718,1,Yes,No,-0.5718
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10364866/4130742780,3328694628_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10364866/1050816013,1221683193_align.jpg",Yes,0.8719,1,Yes,No,-0.8719
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10480900/2089337456,3735984349_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10480900/2f9cbdcca730045900e92810.jpg_align.jpg",Yes,1.2371,1,No,No,-1.2371
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10563048/1436405151,3880708273_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10563048/1546168743,447459528_align.jpg",Yes,0.8209,1,Yes,No,-0.8209
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10358243/267848080,2730092745_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10358243/3344123920,1129186928_align.jpg",Yes,0.4967,1,Yes,No,-0.4967
